7.4149810460420924e-12,44880000
7.6824096632368507e-12,44702400
2.0782820512502213e-11,44080800
5.0088542939667794e-07,34243200
5.2042528104840702e-07,34147200
9.9883349731154754e-07,33009600
9.9883351993696838e-07,32596800
4.809061480113119e-05,32260800
4.8090981062074307e-05,32049600
4.8090983264216421e-05,31646400
4.827056283131222e-05,31226400
4.8283401236684562e-05,31032000
4.8896465296864536e-05,30792000
4.9270269355721932e-05,30628800
9.5984949894506146e-05,28250400
0.00055770074706106443,28197600
0.046198190185721931,26779200
0.3677042648858071,26342400
0.43593536903407309,25224000
1.4406272060990828,24417600
1.4406339500613279,24132000
2.2958019656324615,20155200
2.6418786314820597,18439200
2.6418786314830056,18427200
2.8082698951469065,17808000
3.643095215006845,17709600
3.6442592606556272,17685600
3.735982920008265,16324800
3.9858192507047532,16008000
4.0554702084532881,15897600
4.0756700246673683,15600000
4.198876201296037,15417600
5.1112127038119786,15170400
5.1305668823947679,14887200
5.2893147515413945,14868000
5.3773323080263253,13960800
5.4129960738874274,13821600
5.5602871969517196,13368000
5.887179432624051,12916800
5.8873667669762124,12847200
6.0475175468854419,12792000
6.1501606315326214,12712800
6.2432184432011875,12576000
6.2640885797180257,12352800
6.3897135261532521,12007200
6.4130245862336661,11697600
6.5285712163657461,11304000
6.7459651044673112,10687200
7.2658121213166211,10315200
7.321389809753839,10252800
7.3594464012228737,10185600
7.4952133097484497,9852000
7.5819243498543676,9316800
7.9711183777267749,8539200
8.1308095633031527,8160000
8.1325869702818601,8083200
8.5597970622071848,7992000
8.5598436449718669,7800000
8.8545174270718654,7608000
9.197910928977036,7536000
9.1979109296927337,7488000
9.3681763348163098,6940800
10.04514711661386,6744000
10.049943101989372,6468000
10.160948901391851,6237600
10.354118661832628,6144000
10.384605263362682,5952000
10.395569390786358,5652000
10.846040599255053,5628000
10.859414764050678,5580000
11.357567829985843,5352000
11.383492157978077,5112000
12.06308115765815,4800000
12.065000756857399,4572000
12.890315375966908,4380000
13.663708835239936,3890400
14.496734214025913,3868800
14.683459385682724,3837600
15.489523593087773,3816000
15.554217032632419,3720000
15.580628891217673,3614400
15.778982666676459,3268800
15.892633345216229,3259200
17.134218602817935,3182400
17.336232876693575,3170400
17.409176581759535,3096000
18.335260671854833,2743200
22.532588379913541,2659200
22.591507849315732,2630400
28.951453755285858,2184000
39.600502639222377,2136000
40.47504400642309,2126400
44.941843702868923,2083200
46.355252980430762,2073600
53.558540637073143,2030400
85.231482595997065,2008800
120.44291119516232,1994400
