iter,hv,igd,gd
1,0,3.5972986040659336,2.436446761670553
2,0,2.8706965474984218,2.0843109510228244
3,0,3.0973533700099853,1.7067592759952512
4,0,3.038508666146583,2.6540816328394734
5,0,2.7240322714003797,2.3341185587363449
6,0,3.0919022880721299,2.0528867307487131
7,0,3.8506020481649341,2.1411294091388338
8,0,3.420196329413594,2.3393698302586898
9,0,2.7568565144681463,1.6763994554445241
10,0,3.6052356667448238,1.8053241851755457
11,0,3.2267782492113488,2.516129815966583
12,0,2.9001875030845765,2.5134864726094754
13,0,3.3034373436073357,2.9228586339763059
14,0,3.4731205818317963,3.0947124125777048
15,0,2.237410742353942,1.8361438718842384
16,0,2.6100330259872502,1.8074609887661044
17,0,3.0740572819701395,2.0319992177829365
18,0,3.0956214981102468,1.7701593814557421
19,0,3.2887844995671922,2.1762686140762897
20,0,3.5727987172662332,2.0363138610014637
21,0,3.3574868803103599,2.2114509716781057
22,0,2.5701846385757388,1.6307098879231787
23,0,2.7880498897739399,1.8295027884946091
24,0,3.3487110783408052,2.1769301158553973
25,0,3.3629889664355006,2.9831957615817317
26,0,2.6462038603451927,1.6204913862662018
27,0,2.7965892140469255,2.4080453369030854
28,0,2.8387829936033051,1.488632546185378
29,0,2.937243664817355,1.9912383972533771
30,0,2.9258431553916791,2.5395793277281071
