,MOGABKA,NSGA2,NSGA3,MOEAD
MOGABKA,1,0.44680851063829785,0.69999999999999996,1
NSGA2,0.25531914893617019,1,0.84999999999999998,0.875
NSGA3,0.095744680851063829,0,1,0.5
MOEAD,0,0,0.050000000000000003,1
