algorithm,nd_count,hv
IMOGABKA-seed,96,0.82588341451999014
MOBKA,7,0.38990668432829645
NSGA2,52,0.7584532968095512
NSGA3,42,0.73564231817321757
MOEAD,26,0.68245731665589404
