1,5.9257924075683359,10274400,25.906550033269795,13211975.757575758,13
2,5.9257924075683359,10149600,28.754768939009008,13097261.538461538,17
3,5.6670308623981311,10137600,16.726817345544895,13532000,7
4,5.4282516639120431,9720000,12.446350306173834,13938842.553191489,12
5,4.7348170741190385,9720000,13.727187155303019,14031011.320754716,15
6,4.7348170741190385,9720000,12.112674378656335,14145942.857142856,18
7,4.7348170741190385,9720000,11.112083094011618,13812400,28
8,4.7348170741190385,9696000,9.2854828111616659,13683696,31
9,4.7348170741190385,9206400,10.62141142112587,13400037.735849056,36
10,4.7348170741190385,9206400,8.998610043170622,13618206.060606061,37
11,4.6011253459342196,9206400,9.4425042831660182,13381458.823529411,48
12,4.6011253459342196,9206400,8.2684264984028477,13467392.307692308,53
13,4.6011253459342196,9132000,8.3843516580914752,13615474.285714285,58
14,4.4114737105424053,9132000,7.818659461467921,13595828.571428571,54
15,4.3209503787636185,8296800,7.4739067378991564,14250566.03773585,67
16,4.3209503787636185,7924800,7.5234371680562795,14375127.272727273,61
17,4.3209503787636185,7924800,7.2594552495903439,14573636.697247706,74
18,4.2003245584857956,7924800,7.3549082617439865,13965807.692307692,58
19,4.1169202547427508,7924800,7.199115313700938,14235288,59
20,4.0919872792110796,7744800,9.0938447828499225,13905622.857142856,54
21,4.0919872792110796,7744800,7.3494225965379716,13575378.640776699,57
22,4.0919872792110796,7744800,8.160533754820575,13542291.262135923,66
23,4.0919872792110796,7200000,8.0159570702740233,13586166.990291262,57
24,4.028254859475509,7200000,8.3691322160923658,12481128,62
25,4.0279718238398585,7200000,9.1565348503583159,12288161.538461538,75
26,3.7690188097114325,6156000,8.5022499184391869,12973335.849056603,64
27,3.5358388916576575,6156000,9.3354353882472338,12705803.773584906,68
28,3.5358388916576575,6156000,8.3985054842478775,12868132.173913043,62
29,3.5358388916576575,6156000,8.6228844264152134,12864069.23076923,68
30,3.4894332828959262,6156000,9.0619820640703157,12864072,66
