sample_idx,algorithm_a,algorithm_b,coverage
1000,IMOGABKA-seed,IMOGABKA-seed,1.0
1000,IMOGABKA-seed,MOBKA,1.0
1000,IMOGABKA-seed,NSGA2,0.48214285714285715
1000,IMOGABKA-seed,NSGA3,0.37777777777777777
1000,IMOGABKA-seed,MOEAD,0.8787878787878788
1000,MOBKA,IMOGABKA-seed,0.0
1000,MOBKA,MOBKA,1.0
1000,MOBKA,NSGA2,0.0
1000,MOBKA,NSGA3,0.0
1000,MOBKA,MOEAD,0.0
1000,NSGA2,IMOGABKA-seed,0.17391304347826086
1000,NSGA2,MOBKA,0.1
1000,NSGA2,NSGA2,1.0
1000,NSGA2,NSGA3,0.6444444444444445
1000,NSGA2,MOEAD,1.0
1000,NSGA3,IMOGABKA-seed,0.1956521739130435
1000,NSGA3,MOBKA,0.1
1000,NSGA3,NSGA2,0.19642857142857142
1000,NSGA3,NSGA3,1.0
1000,NSGA3,MOEAD,0.8787878787878788
1000,MOEAD,IMOGABKA-seed,0.0
1000,MOEAD,MOBKA,0.0
1000,MOEAD,NSGA2,0.0
1000,MOEAD,NSGA3,0.0
1000,MOEAD,MOEAD,1.0
1001,IMOGABKA-seed,IMOGABKA-seed,1.0
1001,IMOGABKA-seed,MOBKA,1.0
1001,IMOGABKA-seed,NSGA2,0.2962962962962963
1001,IMOGABKA-seed,NSGA3,0.4117647058823529
1001,IMOGABKA-seed,MOEAD,0.5925925925925926
1001,MOBKA,IMOGABKA-seed,0.0
1001,MOBKA,MOBKA,1.0
1001,MOBKA,NSGA2,0.0
1001,MOBKA,NSGA3,0.0
1001,MOBKA,MOEAD,0.0
1001,NSGA2,IMOGABKA-seed,0.22105263157894736
1001,NSGA2,MOBKA,0.14285714285714285
1001,NSGA2,NSGA2,1.0
1001,NSGA2,NSGA3,0.4117647058823529
1001,NSGA2,MOEAD,0.9259259259259259
1001,NSGA3,IMOGABKA-seed,0.2
1001,NSGA3,MOBKA,0.0
1001,NSGA3,NSGA2,0.16666666666666666
1001,NSGA3,NSGA3,1.0
1001,NSGA3,MOEAD,0.8518518518518519
1001,MOEAD,IMOGABKA-seed,0.1368421052631579
1001,MOEAD,MOBKA,0.0
1001,MOEAD,NSGA2,0.0
1001,MOEAD,NSGA3,0.0
1001,MOEAD,MOEAD,1.0
1002,IMOGABKA-seed,IMOGABKA-seed,1.0
1002,IMOGABKA-seed,MOBKA,1.0
1002,IMOGABKA-seed,NSGA2,0.375
1002,IMOGABKA-seed,NSGA3,0.22448979591836735
1002,IMOGABKA-seed,MOEAD,0.7586206896551724
1002,MOBKA,IMOGABKA-seed,0.0
1002,MOBKA,MOBKA,1.0
1002,MOBKA,NSGA2,0.0
1002,MOBKA,NSGA3,0.0
1002,MOBKA,MOEAD,0.0
1002,NSGA2,IMOGABKA-seed,0.24742268041237114
1002,NSGA2,MOBKA,0.16666666666666666
1002,NSGA2,NSGA2,1.0
1002,NSGA2,NSGA3,0.5510204081632653
1002,NSGA2,MOEAD,0.8620689655172413
1002,NSGA3,IMOGABKA-seed,0.1958762886597938
