algorithm_a,algorithm_b,coverage_mean,coverage_median,coverage_std,runs
IMOGABKA-seed,IMOGABKA-seed,1.0,1.0,0.0,41
IMOGABKA-seed,MOBKA,1.0,1.0,0.0,41
IMOGABKA-seed,MOEAD,0.8911865152851587,1.0,0.16157895644839834,41
IMOGABKA-seed,NSGA2,0.6032856019880322,0.6,0.22562854241070684,41
IMOGABKA-seed,NSGA3,0.623814723236564,0.673469387755102,0.28790687710100976,41
MOBKA,IMOGABKA-seed,0.0,0.0,0.0,41
MOBKA,MOBKA,1.0,1.0,0.0,41
MOBKA,MOEAD,0.0,0.0,0.0,41
MOBKA,NSGA2,0.0,0.0,0.0,41
MOBKA,NSGA3,0.0,0.0,0.0,41
MOEAD,IMOGABKA-seed,0.014401935553395155,0.0,0.03370905068318296,41
MOEAD,MOBKA,0.030381339527680986,0.0,0.0615916498985616,41
MOEAD,MOEAD,1.0,1.0,0.0,41
MOEAD,NSGA2,0.005471842333324155,0.0,0.021426264513747312,41
MOEAD,NSGA3,0.025918186925771695,0.0,0.07176966693915802,41
NSGA2,IMOGABKA-seed,0.12348760541171092,0.09574468085106383,0.08776687463724706,41
NSGA2,MOBKA,0.09882976102488297,0.1,0.10646016902009975,41
NSGA2,MOEAD,0.9769654813144769,1.0,0.07271808229900939,41
NSGA2,NSGA2,1.0,1.0,0.0,41
NSGA2,NSGA3,0.536542881523779,0.5609756097560976,0.2517961417702335,41
NSGA3,IMOGABKA-seed,0.09771660522918411,0.06521739130434782,0.09073849600928374,41
NSGA3,MOBKA,0.08669183120402633,0.0,0.11431471628267309,41
NSGA3,MOEAD,0.869544608071332,0.9583333333333334,0.18934143844305276,41
NSGA3,NSGA2,0.2182730447255491,0.15384615384615385,0.17063137755956503,41
NSGA3,NSGA3,1.0,1.0,0.0,41
