algorithm,nd_count,hv,gd,igd
MOGABKA,6,0.18708759161429314,54000.000018207938,199542.85715975519
NSGA2,5,0.26010296617066753,34560,232457.14285716254
NSGA3,5,0.26010296617066753,34560,232457.14285716254
MOEAD,2,0.16582531394460659,86400,643885.71428683586
