iter,hv,igd,gd
1,0,2.0201123929940956,0.9845059812644692
2,0,1.4706450995526517,0.94546648661810395
3,0,1.3063066255731723,0.92885087503684616
4,0,1.5972224322127488,1.0884268696647459
5,0,1.8642593015602844,0.90701124770312647
6,0,1.9492956272377742,1.089394086363771
7,0,1.9792150872870973,0.8822017682026313
8,0,1.384337807179999,0.86512305744394558
9,0,1.8552231534407067,0.93937179912969759
10,0,2.0542945557636196,0.9206136718363207
11,0,1.6750555890428005,0.97976055117065031
12,0,1.5748013426019725,0.74125342947120232
13,0,1.5723816505427244,0.95231301514869859
14,0,1.7748995016869402,0.88603438554707092
15,0,1.9039078030226246,1.0398030219489227
16,0,1.9099447875418885,1.1382030915387111
17,0,1.408949739168263,1.2189830949130533
18,0,1.9315911689866494,1.0441164421584477
19,0,2.3554153881105111,1.1428442543463735
20,0,1.647075791120282,1.1558199171732111
21,0,1.4969380448275507,1.1904275220534417
22,0,2.030681290201481,1.0394034640966605
23,0,1.7451207393991595,0.95599680588043545
24,0,1.9982641912202166,0.98122685869894066
25,0,1.8688330889260134,0.9141133559464516
26,0,1.727230811336403,1.3665936199527742
27,0,1.8562420913053139,0.83223419736367499
28,0,1.9799866952396028,0.83428604176584831
29,0,1.5408899380655807,1.0604364920077805
30,0,1.2365466500409643,0.79880899358614177
