,MOGABKA,HNSGA2-KMeans,NSGA2,NSGA3,MOEAD
MOGABKA,1,0.55555555555555558,0.8545454545454545,0.73170731707317072,1
HNSGA2-KMeans,0.14772727272727273,1,0.76363636363636367,0.46341463414634149,1
NSGA2,0.034090909090909088,0.044444444444444446,1,0.073170731707317069,0.9375
NSGA3,0.15909090909090909,0.13333333333333333,0.74545454545454548,1,1
MOEAD,0,0,0.018181818181818181,0,1
