sample_idx,algorithm_a,algorithm_b,coverage
1030,IMOGABKA-seed,IMOGABKA-seed,1.0
1030,IMOGABKA-seed,MOBKA,1.0
1030,IMOGABKA-seed,NSGA2,0.2692307692307692
1030,IMOGABKA-seed,NSGA3,0.37209302325581395
1030,IMOGABKA-seed,MOEAD,0.9285714285714286
1030,MOBKA,IMOGABKA-seed,0.0
1030,MOBKA,MOBKA,1.0
1030,MOBKA,NSGA2,0.0
1030,MOBKA,NSGA3,0.0
1030,MOBKA,MOEAD,0.0
1030,NSGA2,IMOGABKA-seed,0.17777777777777778
1030,NSGA2,MOBKA,0.1111111111111111
1030,NSGA2,NSGA2,1.0
1030,NSGA2,NSGA3,0.5116279069767442
1030,NSGA2,MOEAD,1.0
1030,NSGA3,IMOGABKA-seed,0.08888888888888889
1030,NSGA3,MOBKA,0.1111111111111111
1030,NSGA3,NSGA2,0.09615384615384616
1030,NSGA3,NSGA3,1.0
1030,NSGA3,MOEAD,0.9642857142857143
1030,MOEAD,IMOGABKA-seed,0.011111111111111112
1030,MOEAD,MOBKA,0.1111111111111111
1030,MOEAD,NSGA2,0.0
1030,MOEAD,NSGA3,0.0
1030,MOEAD,MOEAD,1.0
1031,IMOGABKA-seed,IMOGABKA-seed,1.0
1031,IMOGABKA-seed,MOBKA,1.0
1031,IMOGABKA-seed,NSGA2,0.10909090909090909
1031,IMOGABKA-seed,NSGA3,0.28888888888888886
1031,IMOGABKA-seed,MOEAD,0.12
1031,MOBKA,IMOGABKA-seed,0.0
1031,MOBKA,MOBKA,1.0
1031,MOBKA,NSGA2,0.0
1031,MOBKA,NSGA3,0.0
1031,MOBKA,MOEAD,0.0
1031,NSGA2,IMOGABKA-seed,0.14772727272727273
1031,NSGA2,MOBKA,0.0
1031,NSGA2,NSGA2,1.0
1031,NSGA2,NSGA3,0.4222222222222222
1031,NSGA2,MOEAD,1.0
1031,NSGA3,IMOGABKA-seed,0.125
1031,NSGA3,MOBKA,0.14285714285714285
1031,NSGA3,NSGA2,0.32727272727272727
1031,NSGA3,NSGA3,1.0
1031,NSGA3,MOEAD,1.0
1031,MOEAD,IMOGABKA-seed,0.09090909090909091
1031,MOEAD,MOBKA,0.0
1031,MOEAD,NSGA2,0.0
1031,MOEAD,NSGA3,0.0
1031,MOEAD,MOEAD,1.0
1032,IMOGABKA-seed,IMOGABKA-seed,1.0
1032,IMOGABKA-seed,MOBKA,1.0
1032,IMOGABKA-seed,NSGA2,0.2222222222222222
1032,IMOGABKA-seed,NSGA3,0.0625
1032,IMOGABKA-seed,MOEAD,0.3333333333333333
1032,MOBKA,IMOGABKA-seed,0.0
1032,MOBKA,MOBKA,1.0
1032,MOBKA,NSGA2,0.0
1032,MOBKA,NSGA3,0.0
1032,MOBKA,MOEAD,0.0
1032,NSGA2,IMOGABKA-seed,0.17894736842105263
1032,NSGA2,MOBKA,0.18181818181818182
1032,NSGA2,NSGA2,1.0
1032,NSGA2,NSGA3,0.4583333333333333
1032,NSGA2,MOEAD,1.0
1032,NSGA3,IMOGABKA-seed,0.14736842105263157
1032,NSGA3,MOBKA,0.18181818181818182
1032,NSGA3,NSGA2,0.1111111111111111
1032,NSGA3,NSGA3,1.0
1032,NSGA3,MOEAD,0.9166666666666666
1032,MOEAD,IMOGABKA-seed,0.06315789473684211
1032,MOEAD,MOBKA,0.09090909090909091
1032,MOEAD,NSGA2,0.0
1032,MOEAD,NSGA3,0.0
1032,MOEAD,MOEAD,1.0
1033,IMOGABKA-seed,IMOGABKA-seed,1.0
1033,IMOGABKA-seed,MOBKA,1.0
1033,IMOGABKA-seed,NSGA2,0.1509433962264151
1033,IMOGABKA-seed,NSGA3,0.16326530612244897
1033,IMOGABKA-seed,MOEAD,0.7857142857142857
1033,MOBKA,IMOGABKA-seed,0.0
1033,MOBKA,MOBKA,1.0
1033,MOBKA,NSGA2,0.0
1033,MOBKA,NSGA3,0.0
1033,MOBKA,MOEAD,0.0
1033,NSGA2,IMOGABKA-seed,0.24468085106382978
1033,NSGA2,MOBKA,0.0
1033,NSGA2,NSGA2,1.0
1033,NSGA2,NSGA3,0.6326530612244898
1033,NSGA2,MOEAD,1.0
1033,NSGA3,IMOGABKA-seed,0.20212765957446807
1033,NSGA3,MOBKA,0.0
1033,NSGA3,NSGA2,0.24528301886792453
1033,NSGA3,NSGA3,1.0
1033,NSGA3,MOEAD,0.7142857142857143
1033,MOEAD,IMOGABKA-seed,0.031914893617021274
1033,MOEAD,MOBKA,0.0
1033,MOEAD,NSGA2,0.0
1033,MOEAD,NSGA3,0.04081632653061224
1033,MOEAD,MOEAD,1.0
1034,IMOGABKA-seed,IMOGABKA-seed,1.0
1034,IMOGABKA-seed,MOBKA,1.0
1034,IMOGABKA-seed,NSGA2,0.3684210526315789
1034,IMOGABKA-seed,NSGA3,0.06382978723404255
1034,IMOGABKA-seed,MOEAD,0.2692307692307692
1034,MOBKA,IMOGABKA-seed,0.0
1034,MOBKA,MOBKA,1.0
1034,MOBKA,NSGA2,0.0
1034,MOBKA,NSGA3,0.0
1034,MOBKA,MOEAD,0.0
1034,NSGA2,IMOGABKA-seed,0.1827956989247312
1034,NSGA2,MOBKA,0.0
