,MOGABKA,NSGA2,NSGA3,MOEAD
MOGABKA,1,0.59999999999999998,0.59999999999999998,1
NSGA2,0.5,1,1,1
NSGA3,0.5,1,1,1
MOEAD,0.16666666666666666,0.40000000000000002,0.40000000000000002,1
