"sample_idx","source_file","offset_id","cell_rank","cell_lon_center","cell_lat_center","hv_nnseed","hv_MOBKA","hv_NSGA2","hv_NSGA3","hv_MOEAD","best_hv_algorithm","best_hv","cov_nnseed_to_MOBKA","cov_MOBKA_to_nnseed","cov_nnseed_to_NSGA2","cov_NSGA2_to_nnseed","cov_nnseed_to_NSGA3","cov_NSGA3_to_nnseed","cov_nnseed_to_MOEAD","cov_MOEAD_to_nnseed"
"1285","dongguan.csv","4","1","113.767588386422","23.0242511584924","0.7946212622294482","0.4291678553845706","0.7136812638632793","0.7334408042326345","0.6722023216132222","IMOGABKA-seed","0.7946212622294482","1.0","0.0","0.7758620689655172","0.010752688172043012","0.8297872340425532","0.010752688172043012","1.0","0.0"
"1286","dongguan.csv","4","2","113.771973492824","22.7886523999003","0.724507195010544","0.3275589292449894","0.6403134522143821","0.6169763549557581","0.4825370998842653","IMOGABKA-seed","0.724507195010544","1.0","0.0","0.7115384615384616","0.25","0.9666666666666667","0.0","1.0","0.0"
"1287","dongguan.csv","4","3","113.727197200276","23.0181064856617","0.8201924604038259","0.49710083524040877","0.747054890833822","0.7342751245860761","0.6838195624773732","IMOGABKA-seed","0.8201924604038259","1.0","0.0","0.8421052631578947","0.021052631578947368","1.0","0.0","1.0","0.0"
"1288","dongguan.csv","4","4","113.675671536726","22.8310936005728","0.8179140304656254","0.45961080394853004","0.7548605640722302","0.7476689074530467","0.6393288928637525","IMOGABKA-seed","0.8179140304656254","1.0","0.0","0.8771929824561403","0.02247191011235955","0.9565217391304348","0.02247191011235955","1.0","0.0"
"1289","dongguan.csv","4","5","113.66761720457","22.9308506002504","0.8263088339522243","0.3279373194973898","0.756715191946023","0.7666361978312961","0.6497851000100625","IMOGABKA-seed","0.8263088339522243","1.0","0.0","0.9166666666666666","0.03125","1.0","0.0","1.0","0.0"
"1290","dongguan.csv","4","6","113.810291992736","22.8017257441666","0.843664921945728","0.4649877817321614","0.8035606967263356","0.8061587477147115","0.7017648258992422","IMOGABKA-seed","0.843664921945728","1.0","0.0","0.8","0.043010752688172046","0.8444444444444444","0.0","1.0","0.0"
"1291","dongguan.csv","4","7","113.919023965311","22.9681150263552","0.8821075641780093","0.37416226496841754","0.8101177184889337","0.8109263258513435","0.7213196458113471","IMOGABKA-seed","0.8821075641780093","1.0","0.0","0.9152542372881356","0.05154639175257732","0.8181818181818182","0.05154639175257732","1.0","0.0"
"1292","dongguan.csv","4","8","114.00770761982","22.9726625126851","0.9294402453660573","0.40728344262024396","0.8455121941536359","0.861835759593705","0.7894471794796972","IMOGABKA-seed","0.9294402453660573","1.0","0.0","0.9090909090909091","0.020833333333333332","1.0","0.0","1.0","0.0"
"1293","dongguan.csv","4","9","113.923600983616","22.9349253909846","0.8647136236471564","0.3899147388894953","0.8119500567533299","0.7859124311018699","0.7403890762223293","IMOGABKA-seed","0.8647136236471564","1.0","0.0","0.5185185185185185","0.29213483146067415","0.3333333333333333","0.12359550561797752","0.8928571428571429","0.0"
"1294","dongguan.csv","4","10","113.772021363256","23.0563066890283","0.9252759638755965","0.3901253013849609","0.8498332134784137","0.8140847901190474","0.7946762430301382","IMOGABKA-seed","0.9252759638755965","1.0","0.0","0.7931034482758621","0.08602150537634409","0.9782608695652174","0.010752688172043012","1.0","0.0"
"1295","dongguan.csv","4","11","113.725009559187","22.7941426784819","0.9318985516691143","0.49591389187111296","0.8756416154355431","0.8893523566355053","0.7949264046711393","IMOGABKA-seed","0.9318985516691143","1.0","0.0","0.36538461538461536","0.10869565217391304","0.2222222222222222","0.13043478260869565","0.9411764705882353","0.0"
"1296","dongguan.csv","4","12","113.722652953458","23.0615545812126","0.9182196897199086","0.4958305068389239","0.8676694496344559","0.8402900145257007","0.7699717096625384","IMOGABKA-seed","0.9182196897199086","1.0","0.0","0.9811320754716981","0.0","1.0","0.0","1.0","0.0"
"1297","dongguan.csv","4","13","113.718576042603","22.8348744705298","0.8966202915527935","0.4700642583374049","0.824608734521459","0.8379904992556416","0.7650467994385765","IMOGABKA-seed","0.8966202915527935","1.0","0.0","0.8392857142857143","0.052083333333333336","0.9433962264150944","0.020833333333333332","1.0","0.0"
"1298","dongguan.csv","4","14","113.820552151258","23.0229536897119","0.9255854976635312","0.2889105216907076","0.8719934612564221","0.8587976337541537","0.7413366351175026","IMOGABKA-seed","0.9255854976635312","1.0","0.0","0.3898305084745763","0.24731182795698925","0.4489795918367347","0.17204301075268819","0.5517241379310345","0.06451612903225806"
"1299","dongguan.csv","4","15","114.013961242191","22.9196266087544","0.9428703748387249","0.44558513238551967","0.9063331823965489","0.9103490257672633","0.8076328210130758","IMOGABKA-seed","0.9428703748387249","1.0","0.0","0.45161290322580644","0.0967741935483871","0.4166666666666667","0.08602150537634409","0.2777777777777778","0.06451612903225806"
"1300","dongguan.csv","4","16","114.162846586539","22.8363249104899","0.9182386715748833","0.41586477225710317","0.8619488647860457","0.8302281678979262","0.7590572922448104","IMOGABKA-seed","0.9182386715748833","1.0","0.0","0.4107142857142857","0.21052631578947367","0.5510204081632653","0.042105263157894736","1.0","0.0"
