algorithm_a,algorithm_b,coverage_mean,coverage_median,coverage_std,runs
IMOGABKA-seed,IMOGABKA-seed,1.0,1.0,0.0,38
IMOGABKA-seed,MOBKA,1.0,1.0,0.0,38
IMOGABKA-seed,MOEAD,0.2975145137502335,0.27097902097902093,0.22590933672033228,38
IMOGABKA-seed,NSGA2,0.16782755664378587,0.15441906653426019,0.11384274479296741,38
IMOGABKA-seed,NSGA3,0.16983505078878328,0.17712418300653596,0.1356778280692606,38
MOBKA,IMOGABKA-seed,0.0,0.0,0.0,38
MOBKA,MOBKA,1.0,1.0,0.0,38
MOBKA,MOEAD,0.0,0.0,0.0,38
MOBKA,NSGA2,0.0,0.0,0.0,38
MOBKA,NSGA3,0.0,0.0,0.0,38
MOEAD,IMOGABKA-seed,0.06841941660157298,0.06315789473684211,0.04537171516760248,38
MOEAD,MOBKA,0.0262227538543328,0.0,0.04828234747298567,38
MOEAD,MOEAD,1.0,1.0,0.0,38
MOEAD,NSGA2,0.009486738907437791,0.0,0.0264968959237717,38
MOEAD,NSGA3,0.010476143558199466,0.0,0.020573762295794384,38
NSGA2,IMOGABKA-seed,0.14919304888702295,0.1513557737260402,0.06027363898858182,38
NSGA2,MOBKA,0.165404989747095,0.16666666666666666,0.16470650245372612,38
NSGA2,MOEAD,0.9400462453154315,1.0,0.15939602702610695,38
NSGA2,NSGA2,1.0,1.0,0.0,38
NSGA2,NSGA3,0.5300021808426343,0.5892857142857142,0.23679728156860722,38
NSGA3,IMOGABKA-seed,0.14044307637687592,0.1450816151202749,0.06008481704767334,38
NSGA3,MOBKA,0.17179596719070403,0.16666666666666666,0.14814415316566,38
NSGA3,MOEAD,0.8846643733113152,0.9484126984126984,0.14751137589805657,38
NSGA3,NSGA2,0.24279841555642043,0.18998048145738453,0.19440624839582119,38
NSGA3,NSGA3,1.0,1.0,0.0,38
