algorithm,runs,hv_mean,hv_median,hv_std,nd_count_mean,best_obj1_mean,best_obj2_mean,mean_obj1_mean,mean_obj2_mean,elapsed_sec_mean,elapsed_sec_median
IMOGABKA-seed,21,0.9625585124183597,0.9637937263636531,0.008932714882180148,94.42857142857143,6.933586485809078e-17,698742.8571428572,13.602849248707322,12067904.712554015,37.8678495476197,37.2718603000103
NSGA2,21,0.896460232701016,0.8916165392076356,0.02075747199904919,55.76190476190476,1.38138278232119,4292342.857142857,8.280449838230606,11700164.3198163,11.523850604762888,10.634906199993566
NSGA3,21,0.8798234355743705,0.8765170178830703,0.029081899702935232,46.04761904761905,1.333522308889271,5224342.857142857,5.102523592212963,12708294.413966928,11.367113638096876,10.7368685999827
MOEAD,21,0.8228523328385885,0.8272365788694124,0.021152883675989845,26.285714285714285,2.4549168019417666,7991200.0,5.512326002546532,12540767.370230552,5.617496142859593,5.207693300006213
MOBKA,21,0.470291350420087,0.463913943792597,0.05200882766922462,7.9523809523809526,0.1279715835515194,27090742.85714286,0.7721126374998254,30829092.236652236,6.692681580953788,6.0942896000051405
