algorithm_a,algorithm_b,coverage_mean,coverage_median,coverage_std,runs
IMOGABKA-seed,IMOGABKA-seed,1.0,1.0,0.0,16
IMOGABKA-seed,MOBKA,1.0,1.0,0.0,16
IMOGABKA-seed,MOEAD,0.9164709705721369,1.0,0.19777866513477532,16
IMOGABKA-seed,NSGA2,0.7185807911571751,0.7965517241379311,0.20804864706407689,16
IMOGABKA-seed,NSGA3,0.7693425762917783,0.8939203354297693,0.2665200413655888,16
MOBKA,IMOGABKA-seed,0.0,0.0,0.0,16
MOBKA,MOBKA,1.0,1.0,0.0,16
MOBKA,MOEAD,0.0,0.0,0.0,16
MOBKA,NSGA2,0.0,0.0,0.0,16
MOBKA,NSGA3,0.0,0.0,0.0,16
MOEAD,IMOGABKA-seed,0.008064516129032258,0.0,0.021336704121488633,16
MOEAD,MOBKA,0.02329545454545455,0.0,0.040396888176939635,16
MOEAD,MOEAD,1.0,1.0,0.0,16
MOEAD,NSGA2,0.012824128486578379,0.0,0.034542498860715476,16
MOEAD,NSGA3,0.018561613475177305,0.0,0.06195333072552033,16
NSGA2,IMOGABKA-seed,0.0965290854547842,0.05181486254295532,0.09437793986400178,16
NSGA2,MOBKA,0.06734532828282828,0.045454545454545456,0.07293602539110161,16
NSGA2,MOEAD,0.9498772248491139,1.0,0.10160250731189875,16
NSGA2,NSGA2,1.0,1.0,0.0,16
NSGA2,NSGA3,0.5362475099244068,0.4835343228200371,0.2172078411211615,16
NSGA3,IMOGABKA-seed,0.041909817440997275,0.015793010752688172,0.054074481336065267,16
NSGA3,MOBKA,0.07168560606060606,0.09090909090909091,0.06876254250867563,16
NSGA3,MOEAD,0.8089941903142472,0.8435828877005347,0.16029458294625404,16
NSGA3,NSGA2,0.21476899064094113,0.22718253968253968,0.15012712632201144,16
NSGA3,NSGA3,1.0,1.0,0.0,16
