iter,hv,igd,gd
1,0,1.9825097505347224,1.2385331995613598
2,0.26611570247933886,0.66235335891299763,5.3893930436925233e-05
3,0.27366694535735497,0.65396098222176413,0.00034572500668467692
4,0.27367261861121861,0.65395751004112279,0.00024501788074667561
5,0.39074853779759655,0.25155756709407245,0.013818971941886185
6,0.52430551418193994,0.14818908223352573,0.0048790866362057881
7,0.66223354979224469,0.053936078162053189,0.0016434283866334522
8,0.68576510987356021,0.03401469796227153,0.00094713831912160624
9,0.70351225724028965,0.018218883662935496,0.0012787784311166998
10,0.70826635780924863,0.013811358122417912,0.00092792839388232276
11,0.71487406588663049,0.0097902472400303048,0.00039824332889315403
12,0.71729757865198041,0.0070868894259249566,0.0002109768565076861
13,0.71770905275883323,0.0066063050973333842,0.00020459089103300662
14,0.71868288764454258,0.0055089280156570093,0.00013282229015184325
15,0.71880408866622991,0.0053457468652560007,0.0001257458246501361
16,0.71880698030586732,0.0053438831614113988,0.00012500967380533098
17,0.71909946222454757,0.0050466956470949301,0.00011992963690342518
18,0.71906126463401887,0.0050908774784528005,0.00012262096212378333
19,0.71906109810454433,0.0050463678350362732,0.00011955733167414439
20,0.71910467479267959,0.0050584023188831708,0.00012068013614757462
21,0.71911793173559091,0.0049958438830205176,0.00011759594891381879
22,0.71920295083459507,0.0049558609835728268,0.00011739878713991557
23,0.71923268795095285,0.0049520895191941423,0.00010643498134682062
24,0.71926711271057553,0.0048695247465605045,9.9975573278307303e-05
25,0.71936073494448105,0.0048395607392755459,0.00010369383751595935
26,0.71925709944541305,0.004886909751857578,0.00010087356309325564
27,0.71948828640424634,0.0047159048120039892,9.8886071276151703e-05
28,0.71941611955967688,0.0047887664055836976,0.00010150604404552921
29,0.71933827624471536,0.0048184326386700414,9.9145102715815305e-05
30,0.71935395838789684,0.0048029523016703485,9.691075204785588e-05
