sample_idx,source_file,scale_km,offset_id,cell_rank,cell_lon_center,cell_lat_center,group_tag,algorithm,hv,nd_count,converge_best_obj1,converge_best_obj2,converge_mean_obj1,converge_mean_obj2,elapsed_sec
1021,dongguan.csv,5.0,1,62,113.65530069697,23.0450396673184,dongguan.csv|s5.0|gx1|gy4,IMOGABKA-seed,0.9362647311778427,90,3.794067791658244e-51,585600.0,11.089046446288274,11108213.333333334,30.154062899993733
1021,dongguan.csv,5.0,1,62,113.65530069697,23.0450396673184,dongguan.csv|s5.0|gx1|gy4,MOBKA,0.5060806164174959,12,0.03732638745353252,25987200.0,0.3199232902479728,30366800.0,5.964945899992017
1021,dongguan.csv,5.0,1,62,113.65530069697,23.0450396673184,dongguan.csv|s5.0|gx1|gy4,NSGA2,0.8882092879820824,58,0.9582225932631121,4576800.0,3.862877527736589,11124413.793103449,10.50486699998146
1021,dongguan.csv,5.0,1,62,113.65530069697,23.0450396673184,dongguan.csv|s5.0|gx1|gy4,NSGA3,0.87992408981899,49,0.6655045118246249,5224800.0,3.0075975372098323,12852734.693877552,10.638234899990493
1021,dongguan.csv,5.0,1,62,113.65530069697,23.0450396673184,dongguan.csv|s5.0|gx1|gy4,MOEAD,0.8149836254694952,22,1.522276384633886,8472000.0,2.7837774389996226,13027745.454545455,5.054970199998934
1022,dongguan.csv,5.0,1,63,114.170362982594,22.6933008239737,dongguan.csv|s5.0|gx4|gy1,IMOGABKA-seed,0.9729868172683558,91,1.2381589446661894e-35,585600.0,6.706708938077339,9843454.945054945,29.710525100002997
1022,dongguan.csv,5.0,1,63,114.170362982594,22.6933008239737,dongguan.csv|s5.0|gx4|gy1,MOBKA,0.4474279363975736,9,0.0011635129271730241,28744800.0,0.19125013981895886,32045600.0,5.838044100004481
1022,dongguan.csv,5.0,1,63,114.170362982594,22.6933008239737,dongguan.csv|s5.0|gx4|gy1,NSGA2,0.9138233020484055,52,0.4868927027214991,3890400.0,1.9838298399832601,12192461.538461538,10.477345799998147
1022,dongguan.csv,5.0,1,63,114.170362982594,22.6933008239737,dongguan.csv|s5.0|gx4|gy1,NSGA3,0.8603790490411082,47,0.474207757817653,6808800.0,1.4965195298912204,14826331.914893618,10.508881099987775
1022,dongguan.csv,5.0,1,63,114.170362982594,22.6933008239737,dongguan.csv|s5.0|gx4|gy1,MOEAD,0.843345551338241,18,0.5548448133051966,7605600.0,1.909249438555593,14431066.666666666,5.147374199994374
1023,dongguan.csv,5.0,1,64,113.586761658997,23.0452970041209,dongguan.csv|s5.0|gx1|gy4,IMOGABKA-seed,0.9592122077821847,94,6.972077064257189e-45,576000.0,7.386152833008756,11273182.978723405,34.24075639998773
1023,dongguan.csv,5.0,1,64,113.586761658997,23.0452970041209,dongguan.csv|s5.0|gx1|gy4,MOBKA,0.500195953409177,9,1.4273596697647888e-07,24880800.0,0.41585411555361407,30408266.666666668,5.679393700003857
1023,dongguan.csv,5.0,1,64,113.586761658997,23.0452970041209,dongguan.csv|s5.0|gx1|gy4,NSGA2,0.9071165585752028,47,0.5961389810384736,3511200.0,3.079317243323148,11663591.489361702,10.123134400026174
1023,dongguan.csv,5.0,1,64,113.586761658997,23.0452970041209,dongguan.csv|s5.0|gx1|gy4,NSGA3,0.905051223495468,53,0.49528492751079545,3307200.0,3.8271978281361827,13309313.20754717,10.258446400024695
1023,dongguan.csv,5.0,1,64,113.586761658997,23.0452970041209,dongguan.csv|s5.0|gx1|gy4,MOEAD,0.7963063148575675,25,1.0417280516775291,9192000.0,2.857458321015356,13119072.0,5.1771150000276975
1024,dongguan.csv,5.0,1,65,114.04499330547,22.8014175503956,dongguan.csv|s5.0|gx3|gy2,IMOGABKA-seed,0.983953826590502,97,1.1940273442692034e-37,568800.0,9.433835383866686,11929509.278350515,29.364216800022405
1024,dongguan.csv,5.0,1,65,114.04499330547,22.8014175503956,dongguan.csv|s5.0|gx3|gy2,MOBKA,0.44919279938049284,11,0.1026586885489125,27050400.0,0.24156423831378426,30480436.363636363,5.579702600021847
1024,dongguan.csv,5.0,1,65,114.04499330547,22.8014175503956,dongguan.csv|s5.0|gx3|gy2,NSGA2,0.9020181114857224,57,0.4257687333788265,4694400.0,1.882804504386988,13512631.578947369,10.1052077000204
1024,dongguan.csv,5.0,1,65,114.04499330547,22.8014175503956,dongguan.csv|s5.0|gx3|gy2,NSGA3,0.9219091712540508,47,0.5813643974406824,3686400.0,1.8920718758987654,12455744.680851065,9.83572329999879
1024,dongguan.csv,5.0,1,65,114.04499330547,22.8014175503956,dongguan.csv|s5.0|gx3|gy2,MOEAD,0.8482738848495449,18,1.0433985091796834,7286400.0,2.4854643698344177,10729600.0,4.62330540001858
1025,dongguan.csv,5.0,1,66,114.169706821771,22.8445167177122,dongguan.csv|s5.0|gx4|gy2,IMOGABKA-seed,0.9866507521446076,91,4.8092735730682315e-60,552000.0,11.246728049060192,15477389.01098901,25.34760500001721
1025,dongguan.csv,5.0,1,66,114.169706821771,22.8445167177122,dongguan.csv|s5.0|gx4|gy2,MOBKA,0.514830654558738,10,0.10965480360248908,26042400.0,0.37728345309118955,29922720.0,5.576963799976511
