sample_idx,algorithm_a,algorithm_b,coverage
1025,MOEAD,IMOGABKA-seed,0.06593406593406594
1025,MOEAD,MOBKA,0.0
1025,MOEAD,NSGA2,0.0
1025,MOEAD,NSGA3,0.0
1025,MOEAD,MOEAD,1.0
1026,IMOGABKA-seed,IMOGABKA-seed,1.0
1026,IMOGABKA-seed,MOBKA,1.0
1026,IMOGABKA-seed,NSGA2,0.45901639344262296
1026,IMOGABKA-seed,NSGA3,0.48717948717948717
1026,IMOGABKA-seed,MOEAD,0.4166666666666667
1026,MOBKA,IMOGABKA-seed,0.0
1026,MOBKA,MOBKA,1.0
1026,MOBKA,NSGA2,0.0
1026,MOBKA,NSGA3,0.0
1026,MOBKA,MOEAD,0.0
1026,NSGA2,IMOGABKA-seed,0.17777777777777778
1026,NSGA2,MOBKA,0.0
1026,NSGA2,NSGA2,1.0
1026,NSGA2,NSGA3,0.5384615384615384
1026,NSGA2,MOEAD,1.0
1026,NSGA3,IMOGABKA-seed,0.1111111111111111
1026,NSGA3,MOBKA,0.0
1026,NSGA3,NSGA2,0.2459016393442623
1026,NSGA3,NSGA3,1.0
1026,NSGA3,MOEAD,0.5833333333333334
1026,MOEAD,IMOGABKA-seed,0.1
1026,MOEAD,MOBKA,0.0
1026,MOEAD,NSGA2,0.0
1026,MOEAD,NSGA3,0.02564102564102564
1026,MOEAD,MOEAD,1.0
1027,IMOGABKA-seed,IMOGABKA-seed,1.0
1027,IMOGABKA-seed,MOBKA,1.0
1027,IMOGABKA-seed,NSGA2,0.36538461538461536
1027,IMOGABKA-seed,NSGA3,0.2127659574468085
1027,IMOGABKA-seed,MOEAD,0.53125
1027,MOBKA,IMOGABKA-seed,0.0
1027,MOBKA,MOBKA,1.0
1027,MOBKA,NSGA2,0.0
1027,MOBKA,NSGA3,0.0
1027,MOBKA,MOEAD,0.0
1027,NSGA2,IMOGABKA-seed,0.14583333333333334
1027,NSGA2,MOBKA,0.0
1027,NSGA2,NSGA2,1.0
1027,NSGA2,NSGA3,0.0425531914893617
1027,NSGA2,MOEAD,1.0
1027,NSGA3,IMOGABKA-seed,0.14583333333333334
1027,NSGA3,MOBKA,0.16666666666666666
1027,NSGA3,NSGA2,0.7884615384615384
1027,NSGA3,NSGA3,1.0
1027,NSGA3,MOEAD,1.0
1027,MOEAD,IMOGABKA-seed,0.13541666666666666
1027,MOEAD,MOBKA,0.0
1027,MOEAD,NSGA2,0.0
1027,MOEAD,NSGA3,0.0
1027,MOEAD,MOEAD,1.0
1028,IMOGABKA-seed,IMOGABKA-seed,1.0
1028,IMOGABKA-seed,MOBKA,1.0
1028,IMOGABKA-seed,NSGA2,0.38095238095238093
1028,IMOGABKA-seed,NSGA3,0.5135135135135135
1028,IMOGABKA-seed,MOEAD,0.78125
1028,MOBKA,IMOGABKA-seed,0.0
1028,MOBKA,MOBKA,1.0
1028,MOBKA,NSGA2,0.0
1028,MOBKA,NSGA3,0.0
1028,MOBKA,MOEAD,0.0
1028,NSGA2,IMOGABKA-seed,0.17391304347826086
1028,NSGA2,MOBKA,0.0
1028,NSGA2,NSGA2,1.0
1028,NSGA2,NSGA3,0.8108108108108109
1028,NSGA2,MOEAD,1.0
1028,NSGA3,IMOGABKA-seed,0.11956521739130435
1028,NSGA3,MOBKA,0.0
1028,NSGA3,NSGA2,0.07936507936507936
1028,NSGA3,NSGA3,1.0
1028,NSGA3,MOEAD,0.9375
1028,MOEAD,IMOGABKA-seed,0.03260869565217391
1028,MOEAD,MOBKA,0.0
1028,MOEAD,NSGA2,0.0
1028,MOEAD,NSGA3,0.0
1028,MOEAD,MOEAD,1.0
1029,IMOGABKA-seed,IMOGABKA-seed,1.0
1029,IMOGABKA-seed,MOBKA,1.0
1029,IMOGABKA-seed,NSGA2,0.09259259259259259
1029,IMOGABKA-seed,NSGA3,0.2558139534883721
1029,IMOGABKA-seed,MOEAD,0.65
1029,MOBKA,IMOGABKA-seed,0.0
1029,MOBKA,MOBKA,1.0
1029,MOBKA,NSGA2,0.0
1029,MOBKA,NSGA3,0.0
1029,MOBKA,MOEAD,0.0
1029,NSGA2,IMOGABKA-seed,0.24444444444444444
1029,NSGA2,MOBKA,0.0
1029,NSGA2,NSGA2,1.0
1029,NSGA2,NSGA3,0.6976744186046512
1029,NSGA2,MOEAD,1.0
1029,NSGA3,IMOGABKA-seed,0.18888888888888888
1029,NSGA3,MOBKA,0.16666666666666666
1029,NSGA3,NSGA2,0.14814814814814814
1029,NSGA3,NSGA3,1.0
1029,NSGA3,MOEAD,0.95
1029,MOEAD,IMOGABKA-seed,0.022222222222222223
1029,MOEAD,MOBKA,0.0
1029,MOEAD,NSGA2,0.0
1029,MOEAD,NSGA3,0.0
1029,MOEAD,MOEAD,1.0
