sample_idx,algorithm_a,algorithm_b,coverage
960,IMOGABKA-seed,IMOGABKA-seed,1.0
960,IMOGABKA-seed,MOBKA,1.0
960,IMOGABKA-seed,NSGA2,0.7272727272727273
960,IMOGABKA-seed,NSGA3,1.0
960,IMOGABKA-seed,MOEAD,1.0
960,MOBKA,IMOGABKA-seed,0.0
960,MOBKA,MOBKA,1.0
960,MOBKA,NSGA2,0.0
960,MOBKA,NSGA3,0.0
960,MOBKA,MOEAD,0.0
960,NSGA2,IMOGABKA-seed,0.09375
960,NSGA2,MOBKA,0.0
960,NSGA2,NSGA2,1.0
960,NSGA2,NSGA3,0.8695652173913043
960,NSGA2,MOEAD,1.0
960,NSGA3,IMOGABKA-seed,0.0
960,NSGA3,MOBKA,0.0
960,NSGA3,NSGA2,0.0
960,NSGA3,NSGA3,1.0
960,NSGA3,MOEAD,1.0
960,MOEAD,IMOGABKA-seed,0.0
960,MOEAD,MOBKA,0.0
960,MOEAD,NSGA2,0.0
960,MOEAD,NSGA3,0.0
960,MOEAD,MOEAD,1.0
961,IMOGABKA-seed,IMOGABKA-seed,1.0
961,IMOGABKA-seed,MOBKA,1.0
961,IMOGABKA-seed,NSGA2,0.9615384615384616
961,IMOGABKA-seed,NSGA3,0.9767441860465116
961,IMOGABKA-seed,MOEAD,1.0
961,MOBKA,IMOGABKA-seed,0.0
961,MOBKA,MOBKA,1.0
961,MOBKA,NSGA2,0.0
961,MOBKA,NSGA3,0.0
961,MOBKA,MOEAD,0.0
961,NSGA2,IMOGABKA-seed,0.0
961,NSGA2,MOBKA,0.0
961,NSGA2,NSGA2,1.0
961,NSGA2,NSGA3,0.2558139534883721
961,NSGA2,MOEAD,0.96875
961,NSGA3,IMOGABKA-seed,0.0
961,NSGA3,MOBKA,0.0
961,NSGA3,NSGA2,0.5
961,NSGA3,NSGA3,1.0
961,NSGA3,MOEAD,0.65625
961,MOEAD,IMOGABKA-seed,0.0
961,MOEAD,MOBKA,0.0
961,MOEAD,NSGA2,0.0
961,MOEAD,NSGA3,0.0
961,MOEAD,MOEAD,1.0
962,IMOGABKA-seed,IMOGABKA-seed,1.0
962,IMOGABKA-seed,MOBKA,1.0
962,IMOGABKA-seed,NSGA2,0.7058823529411765
962,IMOGABKA-seed,NSGA3,0.8648648648648649
962,IMOGABKA-seed,MOEAD,1.0
962,MOBKA,IMOGABKA-seed,0.0
962,MOBKA,MOBKA,1.0
962,MOBKA,NSGA2,0.0
962,MOBKA,NSGA3,0.0
962,MOBKA,MOEAD,0.0
962,NSGA2,IMOGABKA-seed,0.08421052631578947
962,NSGA2,MOBKA,0.3333333333333333
962,NSGA2,NSGA2,1.0
962,NSGA2,NSGA3,0.4864864864864865
962,NSGA2,MOEAD,1.0
962,NSGA3,IMOGABKA-seed,0.06315789473684211
962,NSGA3,MOBKA,0.16666666666666666
962,NSGA3,NSGA2,0.2549019607843137
962,NSGA3,NSGA3,1.0
962,NSGA3,MOEAD,0.9655172413793104
962,MOEAD,IMOGABKA-seed,0.0
962,MOEAD,MOBKA,0.16666666666666666
962,MOEAD,NSGA2,0.0
962,MOEAD,NSGA3,0.0
962,MOEAD,MOEAD,1.0
963,IMOGABKA-seed,IMOGABKA-seed,1.0
963,IMOGABKA-seed,MOBKA,1.0
963,IMOGABKA-seed,NSGA2,0.75
963,IMOGABKA-seed,NSGA3,0.6222222222222222
963,IMOGABKA-seed,MOEAD,1.0
963,MOBKA,IMOGABKA-seed,0.0
963,MOBKA,MOBKA,1.0
963,MOBKA,NSGA2,0.0
963,MOBKA,NSGA3,0.0
963,MOBKA,MOEAD,0.0
963,NSGA2,IMOGABKA-seed,0.0851063829787234
963,NSGA2,MOBKA,0.0
963,NSGA2,NSGA2,1.0
963,NSGA2,NSGA3,0.5111111111111111
963,NSGA2,MOEAD,1.0
963,NSGA3,IMOGABKA-seed,0.1276595744680851
963,NSGA3,MOBKA,0.0
963,NSGA3,NSGA2,0.35
963,NSGA3,NSGA3,1.0
963,NSGA3,MOEAD,1.0
963,MOEAD,IMOGABKA-seed,0.0
963,MOEAD,MOBKA,0.0
963,MOEAD,NSGA2,0.0
963,MOEAD,NSGA3,0.0
963,MOEAD,MOEAD,1.0
964,IMOGABKA-seed,IMOGABKA-seed,1.0
964,IMOGABKA-seed,MOBKA,1.0
964,IMOGABKA-seed,NSGA2,0.803921568627451
964,IMOGABKA-seed,NSGA3,0.8958333333333334
964,IMOGABKA-seed,MOEAD,1.0
964,MOBKA,IMOGABKA-seed,0.0
