sample_idx,algorithm_a,algorithm_b,coverage
1285,IMOGABKA-seed,IMOGABKA-seed,1.0
1285,IMOGABKA-seed,MOBKA,1.0
1285,IMOGABKA-seed,NSGA2,0.7758620689655172
1285,IMOGABKA-seed,NSGA3,0.8297872340425532
1285,IMOGABKA-seed,MOEAD,1.0
1285,MOBKA,IMOGABKA-seed,0.0
1285,MOBKA,MOBKA,1.0
1285,MOBKA,NSGA2,0.0
1285,MOBKA,NSGA3,0.0
1285,MOBKA,MOEAD,0.0
1285,NSGA2,IMOGABKA-seed,0.010752688172043012
1285,NSGA2,MOBKA,0.0
1285,NSGA2,NSGA2,1.0
1285,NSGA2,NSGA3,0.3617021276595745
1285,NSGA2,MOEAD,0.7307692307692307
1285,NSGA3,IMOGABKA-seed,0.010752688172043012
1285,NSGA3,MOBKA,0.0
1285,NSGA3,NSGA2,0.3793103448275862
1285,NSGA3,NSGA3,1.0
1285,NSGA3,MOEAD,0.6153846153846154
1285,MOEAD,IMOGABKA-seed,0.0
1285,MOEAD,MOBKA,0.0
1285,MOEAD,NSGA2,0.13793103448275862
1285,MOEAD,NSGA3,0.2553191489361702
1285,MOEAD,MOEAD,1.0
1286,IMOGABKA-seed,IMOGABKA-seed,1.0
1286,IMOGABKA-seed,MOBKA,1.0
1286,IMOGABKA-seed,NSGA2,0.7115384615384616
1286,IMOGABKA-seed,NSGA3,0.9666666666666667
1286,IMOGABKA-seed,MOEAD,1.0
1286,MOBKA,IMOGABKA-seed,0.0
1286,MOBKA,MOBKA,1.0
1286,MOBKA,NSGA2,0.0
1286,MOBKA,NSGA3,0.0
1286,MOBKA,MOEAD,0.0
1286,NSGA2,IMOGABKA-seed,0.25
1286,NSGA2,MOBKA,0.125
1286,NSGA2,NSGA2,1.0
1286,NSGA2,NSGA3,0.43333333333333335
1286,NSGA2,MOEAD,1.0
1286,NSGA3,IMOGABKA-seed,0.0
1286,NSGA3,MOBKA,0.125
1286,NSGA3,NSGA2,0.21153846153846154
1286,NSGA3,NSGA3,1.0
1286,NSGA3,MOEAD,0.8636363636363636
1286,MOEAD,IMOGABKA-seed,0.0
1286,MOEAD,MOBKA,0.0
1286,MOEAD,NSGA2,0.0
1286,MOEAD,NSGA3,0.0
1286,MOEAD,MOEAD,1.0
1287,IMOGABKA-seed,IMOGABKA-seed,1.0
1287,IMOGABKA-seed,MOBKA,1.0
1287,IMOGABKA-seed,NSGA2,0.8421052631578947
1287,IMOGABKA-seed,NSGA3,1.0
1287,IMOGABKA-seed,MOEAD,1.0
1287,MOBKA,IMOGABKA-seed,0.0
1287,MOBKA,MOBKA,1.0
1287,MOBKA,NSGA2,0.0
1287,MOBKA,NSGA3,0.0
1287,MOBKA,MOEAD,0.0
1287,NSGA2,IMOGABKA-seed,0.021052631578947368
1287,NSGA2,MOBKA,0.2
1287,NSGA2,NSGA2,1.0
1287,NSGA2,NSGA3,0.6326530612244898
1287,NSGA2,MOEAD,1.0
