sample_idx,source_file,offset_id,cell_rank,cell_lon_center,cell_lat_center,hv_IMOGABKA-seed,hv_MOBKA,hv_NSGA2,hv_NSGA3,hv_MOEAD,nd_IMOGABKA-seed,nd_MOBKA,nd_NSGA2,nd_NSGA3,nd_MOEAD,best_hv_algorithm,best_hv
1030,dongguan.csv,1,71,113.990301644726,22.8637170012658,0.9601338673023619,0.4361575738614787,0.8894752387921396,0.8948425970561897,0.7962614752603324,90,9,52,43,28,IMOGABKA-seed,0.9601338673023619
1031,dongguan.csv,1,72,113.839795710333,23.1117904297449,0.965062348298399,0.4839732047595336,0.9190212336132216,0.8840032505646133,0.843321910611314,88,7,55,45,25,IMOGABKA-seed,0.965062348298399
1032,dongguan.csv,1,73,113.853606358289,22.9433920886809,0.985345540993992,0.48135185357292815,0.9155160139721044,0.8583791696340562,0.8817887510411441,95,11,54,48,24,IMOGABKA-seed,0.985345540993992
1033,dongguan.csv,1,74,113.809147310098,22.9092021577301,0.951695194069738,0.49382914545957873,0.8859841128394641,0.8876213880235205,0.8025592687676144,94,6,53,49,14,IMOGABKA-seed,0.951695194069738
1034,dongguan.csv,1,75,114.026129153915,23.0715603946895,0.9522184885727651,0.46473366539338307,0.8888528011518773,0.8725373186575347,0.8264990210587831,93,9,57,47,26,IMOGABKA-seed,0.9522184885727651
1035,dongguan.csv,1,76,114.044842210278,22.778943999057,0.9676450986256879,0.5316157989395126,0.9094829551437216,0.9083176500784076,0.8633035936851782,94,10,54,44,13,IMOGABKA-seed,0.9676450986256879
1036,dongguan.csv,1,77,113.804268530024,23.1161332515366,0.9645068414448275,0.4233142710390691,0.8996628510882801,0.871531975182862,0.823486893768413,92,6,58,49,22,IMOGABKA-seed,0.9645068414448275
1037,dongguan.csv,1,78,113.690601114926,22.9169150214592,0.9681317452798063,0.49281586095235563,0.9145816877202746,0.9135996175004855,0.8266017117116294,92,6,54,46,23,IMOGABKA-seed,0.9681317452798063
1038,dongguan.csv,1,79,113.904397368907,22.9047140015392,0.9583764254407792,0.547269611472184,0.8638534789770416,0.8635374136941388,0.7995164784558275,96,9,54,44,29,IMOGABKA-seed,0.9583764254407792
1039,dongguan.csv,1,80,113.734758018248,22.8468219885297,0.985463381128806,0.44631175916632115,0.9149771287855432,0.919038095076546,0.8272024283265642,91,7,54,51,19,IMOGABKA-seed,0.985463381128806
1040,dongguan.csv,1,81,114.08875538487,22.9603226449475,0.9702149707506059,0.44767999793202484,0.9338210146682709,0.9115137945469258,0.813487911744967,89,9,59,45,28,IMOGABKA-seed,0.9702149707506059
1041,dongguan.csv,1,82,113.559768428492,23.0481681936561,0.9863180948365354,0.5107437981541522,0.9271232704575951,0.9027663908367081,0.8610725569367109,95,9,56,49,27,IMOGABKA-seed,0.9863180948365354
1042,dongguan.csv,1,83,113.612487667861,22.9922121636798,0.9462228035693887,0.41267946885630213,0.8674044371260278,0.8359793664406138,0.8259388636346215,93,12,57,38,24,IMOGABKA-seed,0.9462228035693887
1043,dongguan.csv,1,84,113.74151640404,23.1202216414141,0.9681484810424265,0.4136632880901954,0.9012224213904485,0.8440930353366602,0.8232770626560477,90,4,58,48,22,IMOGABKA-seed,0.9681484810424265
1044,dongguan.csv,1,85,114.124445119012,23.0286279303892,0.9748488337024092,0.4575026033858844,0.9057051595171536,0.8798097852764338,0.8464020371307006,90,6,61,56,33,IMOGABKA-seed,0.9748488337024092
1045,dongguan.csv,1,86,114.183169733384,22.9586450618793,0.9618811342579862,0.5446566411027683,0.9260862706575695,0.907175367365507,0.8537069494703255,92,8,54,61,23,IMOGABKA-seed,0.9618811342579862
1046,dongguan.csv,1,87,113.875427716923,23.1124696753846,0.9760940584728962,0.5125255922820013,0.891533927320678,0.8973131550885873,0.8352472849786944,93,9,59,48,31,IMOGABKA-seed,0.9760940584728962
1047,dongguan.csv,1,88,114.170357743175,22.7555166248736,0.9889927748493585,0.4991800259369024,0.8968453589062471,0.8913837354263935,0.8283140610238312,96,10,49,41,28,IMOGABKA-seed,0.9889927748493585
1048,dongguan.csv,1,89,113.9220779591,22.8766736288343,0.9886327572573771,0.48630614793211746,0.8870228711679089,0.9019659081886126,0.8668010302033983,90,7,49,39,21,IMOGABKA-seed,0.9886327572573771
1049,dongguan.csv,1,90,113.650027065089,23.1144131763314,0.9822450842266742,0.5159657049812868,0.8877305200382872,0.9113533182732872,0.8746292176108619,92,9,53,50,24,IMOGABKA-seed,0.9822450842266742
1050,dongguan.csv,1,91,113.70287484596,23.1152381022727,0.9806905854256731,0.4813584968921014,0.931480091901037,0.9156554155529918,0.8573905249773477,92,7,55,52,32,IMOGABKA-seed,0.9806905854256731
1051,dongguan.csv,1,92,113.60374310567,23.0786373350515,0.9772716587199521,0.449272180275081,0.8859720449754529,0.8733234617827842,0.8617552348378189,97,4,52,46,28,IMOGABKA-seed,0.9772716587199521
1052,dongguan.csv,1,93,113.613860826846,22.8584941275168,0.9625422478810429,0.44480867956814585,0.8816478800961873,0.9258935285776575,0.8168365723621175,92,8,57,45,18,IMOGABKA-seed,0.9625422478810429
1053,dongguan.csv,1,94,114.080303297297,23.0744241294452,0.9911311254712043,0.5085092662999199,0.9269788852160168,0.8864328562842342,0.9048478196833915,95,5,59,57,25,IMOGABKA-seed,0.9911311254712043
1054,dongguan.csv,1,95,113.563682392157,23.0032743303167,0.9829122832026351,0.46319417359673987,0.9201438346106021,0.8772320741328874,0.8551608187614954,90,9,51,46,22,IMOGABKA-seed,0.9829122832026351
1055,dongguan.csv,1,96,113.743469351266,22.9019098417722,0.9868983726478505,0.49248032699593414,0.9482933769361428,0.9463719381906858,0.8712834731162102,92,9,57,49,25,IMOGABKA-seed,0.9868983726478505
1056,dongguan.csv,1,97,114.115952796117,22.922664631068,0.9871147517899826,0.49199306400262105,0.9289750003125972,0.8843405506431464,0.878606609191792,92,7,57,45,31,IMOGABKA-seed,0.9871147517899826
1057,dongguan.csv,1,98,114.107278721843,22.7362109180887,0.9866467491111306,0.47527879566627174,0.9095950133661453,0.9234420309001892,0.8436407911440824,95,9,51,43,27,IMOGABKA-seed,0.9866467491111306
1058,dongguan.csv,1,99,113.812479329854,22.8745145908142,0.9729013099360662,0.510678119928156,0.9177391936120369,0.8689353694814936,0.8973660204041529,94,6,55,49,36,IMOGABKA-seed,0.9729013099360662
1059,dongguan.csv,1,100,114.215180812367,22.8252245117271,0.9758512379757353,0.49062561472480515,0.9130526022456468,0.8919410741206787,0.8586298526068754,93,10,52,47,19,IMOGABKA-seed,0.9758512379757353
1060,dongguan.csv,1,101,113.609146785714,22.9553601658986,0.9806702241477919,0.4905308588903889,0.9303853080735118,0.9065728320964049,0.8706228297796854,89,8,57,53,24,IMOGABKA-seed,0.9806702241477919
1061,dongguan.csv,1,102,113.959094317808,22.8220477917808,0.9809578091064749,0.4851971273556308,0.9009392624722503,0.8994513446763329,0.8876564146722339,91,8,54,54,18,IMOGABKA-seed,0.9809578091064749
1062,dongguan.csv,1,103,113.563440832836,23.0735373074627,0.9861200923879028,0.45212198760414757,0.8910535427793275,0.91563511907055,0.899161239061084,88,7,48,49,23,IMOGABKA-seed,0.9861200923879028
1063,dongguan.csv,1,104,114.126097508143,22.9989477491857,0.9919265657978434,0.4673999277942104,0.9071152554217263,0.9413082441106336,0.8854989880343554,96,5,57,46,15,IMOGABKA-seed,0.9919265657978434
1064,dongguan.csv,1,105,114.157218730612,22.6906931877551,0.9881807786189408,0.45637221474255824,0.9257574288581462,0.9085586756291669,0.8958000767251021,92,12,58,56,24,IMOGABKA-seed,0.9881807786189408
1065,dongguan.csv,1,106,113.619317502041,22.8266573428571,0.9867112399485993,0.4695580043625681,0.9006382479751807,0.9506165154182877,0.900178502965127,91,8,58,49,17,IMOGABKA-seed,0.9867112399485993
1066,dongguan.csv,1,107,114.019404464286,22.8439014693878,0.9724995606013107,0.5049346091842246,0.8766133652053668,0.8725222431783042,0.8870918102921541,91,10,63,51,17,IMOGABKA-seed,0.9724995606013107
1067,dongguan.csv,1,108,114.217105594444,22.9622561111111,0.9732045661883417,0.5028480171362426,0.9207020563198549,0.9134310746277796,0.8872935699351324,87,10,52,44,18,IMOGABKA-seed,0.9732045661883417
