iter,hv,igd,gd
1,0.39912482621435547,0.34474867018357636,0.038417601646597771
2,0.49291890189551024,0.16220058391448172,0.038232657693479374
3,0.53355869215740304,0.14172278474451672,0.040099271123598561
4,0.5855829324737214,0.10648087051769534,0.017178288892374837
5,0.66801877482126482,0.045545000353490538,0.003676069549501971
6,0.70024812819739102,0.022590955765400138,0.0019314306410358655
7,0.71017201158850807,0.013875825070711414,0.00043213995081924637
8,0.71536967270032481,0.0091441359229047885,0.00021673353369761143
9,0.71698803599476391,0.0073214061681558988,7.3238025867976048e-05
10,0.71880706212906598,0.0054900449257030918,6.96266386057405e-05
11,0.71913762451462937,0.0051228468009045756,6.8988610231884213e-05
12,0.71918689652426127,0.0050979418305154706,7.044808088541161e-05
13,0.71928129067838109,0.0050108515066071167,6.8798608388487512e-05
14,0.71923862082838019,0.0050554475141748193,6.979944449995838e-05
15,0.71922918167852823,0.0050596364788977376,6.9507420244166232e-05
16,0.71919229302603138,0.0051010373222748241,6.9875375596983885e-05
17,0.7192797907613705,0.0049993804716455077,6.8957301265230248e-05
18,0.71922759908293388,0.0050619459645661925,6.9703344708672651e-05
19,0.71925836198816062,0.0050054501611511504,6.9073293077546695e-05
20,0.7192966179768151,0.0049911188336890901,6.863211816865794e-05
21,0.71942240159792614,0.0048636252820298169,6.7766556273225807e-05
22,0.71922780964736932,0.0050368798356529802,6.8275172558330342e-05
23,0.71942121723933583,0.0048617274205112184,6.7597005330039263e-05
24,0.71923368382620956,0.0050476933941527909,6.8895503582867094e-05
25,0.71943667204529882,0.0048438705123786431,6.7093403739014148e-05
26,0.71916045183815036,0.0051163081202150948,6.8898071230344624e-05
27,0.71951173368160493,0.0047727316408694301,6.7069955722127284e-05
28,0.71926038928925207,0.005011043732046222,6.7190853960440432e-05
29,0.71947808710007066,0.0047987690462540618,6.6924194364145396e-05
30,0.71925381940764777,0.0050176011077609625,6.7525916409920159e-05
