iter,hv,igd,gd
1,0.10692469863698573,0.29985513772232636,0.076250478911637859
2,0.12637640730212049,0.3095945531981128,0.096844778741719484
3,0.27307250098117319,0.14450412331852394,0.029204159263704028
4,0.32363473650064256,0.077908794383815941,0.0030829003436592065
5,0.35342666670082573,0.063671505684012586,0.0016090397236232308
6,0.40057062101362045,0.028545601105085236,0.0017286838312657927
7,0.41790891844496025,0.019671413881330115,0.0017503613150106558
8,0.42703835062649859,0.015184917521716803,0.0017996102927986867
9,0.43406433468604405,0.011187921824948184,0.001102183621693604
10,0.43734071723103346,0.0094085592179374636,0.0007996677702472412
11,0.44041057005864309,0.0074625175096210096,0.00050027888714724374
12,0.44206230997636192,0.0063542570009185598,0.00029755582283269122
13,0.4424792060860408,0.006066574877252531,0.00029074636193937028
14,0.44289243804426631,0.0058621999523207329,0.00029375276935025759
15,0.44333539396637084,0.0054653267136262895,0.00013587932442081185
16,0.44347981881243509,0.0053999192158978894,0.00013426016641755121
17,0.4434999159438297,0.0053168067667320349,0.00013325542328078204
18,0.44356483834226867,0.005357693056946498,0.0001332339889368157
19,0.44347538592154584,0.0053175576616531998,0.00013065789936810549
20,0.44358670603682776,0.0053359643920781697,0.0001286668176846411
21,0.44369970162826289,0.0050623225152286715,0.00012676889824497718
22,0.44368598084247196,0.0053097948921796458,0.00012717539513219895
23,0.44367313321850904,0.0050859421255241132,0.00012668217420236402
24,0.44363484334436193,0.0053839646278995125,0.0001299157003591629
25,0.44370378313062048,0.0050559547391291239,0.00012555322630093948
26,0.44367803600453232,0.0052587731577922832,0.0001272276293397856
27,0.44374425141526797,0.0050275698553890729,0.00012549245562939665
28,0.44376909229488337,0.0052745519465046374,0.00012885199184288268
29,0.44370460093187175,0.0050579407259749871,0.00012779176338861083
30,0.44378941860161697,0.0052560573237575361,0.00012739657001575915
