algorithm,mean_gd,mean_igd,mean_spacing
NN-seed IMOGABKA,0.00017632852689307296,0.05216844326125538,0.0077782489043318869
MOBKA,25.238467976019898,26.547588924184545,0.22043691806621507
NSGA-II,0.68309123786684145,1.4182228172502707,0.15206827499083561
NSGA-III,0.89725468970649702,1.6065306804103403,0.25224327720565637
MOEA/D,1.5196153379096948,2.4251424314326058,0.58956748083029054
