problem,algorithm,nd_count,gd,igd,spacing
ZDT1,IMOGABKA,97,9.1165470475348444e-05,0.0050231608175251912,0.013312076622279812
ZDT1,MOBKA,6,1.0123798273140148,1.627763153479743,0.45473932611826023
ZDT1,NSGA-II,12,0.15812868904134048,0.54782792934069058,0.067619669327751764
ZDT1,NSGA-III,12,0.19267328975704431,0.63256131906440782,0.076326740327909856
ZDT1,MOEA/D,3,0.42116570465879871,0.83318221677966409,0.3542543368916804
ZDT2,IMOGABKA,100,0.00015657790143220224,0.0053214761433289619,0.0076565232811005848
ZDT2,MOBKA,1,2.5063432263119436,2.8931652088493847,0
ZDT2,NSGA-II,4,0.5092226308941481,1.1107570779800779,0.092610011460347905
ZDT2,NSGA-III,3,0.65740760223562167,1.2536963994057733,0.58122684949100523
ZDT2,MOEA/D,1,0.85164645716440968,1.2874054870605687,0
ZDT3,IMOGABKA,96,0.00026536116113837731,0.19211725987737732,0.0087663405727044317
ZDT3,MOBKA,5,0.94030041264852482,1.5763792258646492,0.4270083461466001
ZDT3,NSGA-II,9,0.20074574441005294,0.32662065014907876,0.1834104090072759
ZDT3,NSGA-III,9,0.20304386806627661,0.43236170847505834,0.10845735956453131
ZDT3,MOEA/D,3,0.60719804416446721,0.81078522576457768,0.39914702486141784
ZDT4,IMOGABKA,96,8.1462442976904548e-05,0.0049962073876898081,0.010257354874697353
ZDT4,MOBKA,2,96.494848437805103,100.09304810854441,0
ZDT4,NSGA-II,7,1.8642678871218243,3.6876856115312355,0.26463301016796686
ZDT4,NSGA-III,3,2.5358939987670452,4.1075032946961212,0.24296215943917904
ZDT4,MOEA/D,3,4.1984511456511031,6.7691967961256125,1.6048685615680638
