iter,hv,igd,gd
1,0.35464524276555198,0.41352617087436938,0.025795432553837587
2,0.43858832628308853,0.38848990532992367,0.0076822363971478297
3,0.53164499657551545,0.29747852683444742,0.0044202814526506512
4,0.53668044407382898,0.29134275725747971,0.0020805745502379285
5,0.59934926006120925,0.21567186791713974,0.0015225430167707683
6,0.62249056823325721,0.20656760700433108,0.0011462408064491271
7,0.63981137716817127,0.20393624540109548,0.00090528168059020612
8,0.6467872125583749,0.20370669503195923,0.00058484669126544905
9,0.65358404320362495,0.20480766041052104,0.00047669205186200619
10,0.65957267912967443,0.19748515003628367,0.00040794639531601968
11,0.6578305961373685,0.1970937752198548,0.00032953168881005575
12,0.65665483779790335,0.19546278547621418,0.00028890317501872517
13,0.65710685048976281,0.19429016577853456,0.00029382644580030272
14,0.65828104758978001,0.19494426864813505,0.00029632446367486455
15,0.65837019855103918,0.19372809929188586,0.00031609412677595925
16,0.65848307675362105,0.19355211713465686,0.00031889397253490341
17,0.65864468946853416,0.19283129051885065,0.00029043664614076365
18,0.65857642861235455,0.19284583645478412,0.00030304373019135754
19,0.65865475895600489,0.19271205528696669,0.00030842038205674811
20,0.6586480501296591,0.19273616394165094,0.00031395024206280379
21,0.65874750712770958,0.19269667763167483,0.00031896511645775587
22,0.65864615847252217,0.19273474562294515,0.00032737240201622709
23,0.65873579347618894,0.19270608571193293,0.00030946177804928355
24,0.65870553937559384,0.19272380133572567,0.00031049192679590259
25,0.65879187436583675,0.19268852476831699,0.00029031843685025949
26,0.65870928542192364,0.19273324642760661,0.00030772428017841535
27,0.65876360185519123,0.19271949827411977,0.00030824013923660092
28,0.65872589412381843,0.19271259386031275,0.00031117506057896829
29,0.65877576258338078,0.19266736109994076,0.00030319047204827493
30,0.65872324940622495,0.19270694160125379,0.00031830149648877571
