algorithm_a,algorithm_b,coverage_mean,coverage_median,coverage_std,runs
IMOGABKA-seed,IMOGABKA-seed,1.0,1.0,0.0,21
IMOGABKA-seed,MOBKA,1.0,1.0,0.0,21
IMOGABKA-seed,MOEAD,0.7467424994736496,0.7586206896551724,0.1637340136913324,21
IMOGABKA-seed,NSGA2,0.404412751587396,0.375,0.15012906228396622,21
IMOGABKA-seed,NSGA3,0.38744026641443435,0.37777777777777777,0.2073146534600827,21
MOBKA,IMOGABKA-seed,0.0,0.0,0.0,21
MOBKA,MOBKA,1.0,1.0,0.0,21
MOBKA,MOEAD,0.0,0.0,0.0,21
MOBKA,NSGA2,0.0,0.0,0.0,21
MOBKA,NSGA3,0.0,0.0,0.0,21
MOEAD,IMOGABKA-seed,0.03960248035900985,0.03225806451612903,0.041198512944357134,21
MOEAD,MOBKA,0.05200474129045557,0.0,0.09933720658324645,21
MOEAD,MOEAD,1.0,1.0,0.0,21
MOEAD,NSGA2,0.013163027448741734,0.0,0.03292178240902124,21
MOEAD,NSGA3,0.02977548263479657,0.0,0.05524632914140501,21
NSGA2,IMOGABKA-seed,0.17870771197745822,0.17391304347826086,0.07761846849008569,21
NSGA2,MOBKA,0.16583865869580156,0.16666666666666666,0.13671035008900206,21
NSGA2,MOEAD,0.9731024354880494,1.0,0.04699852839879153,21
NSGA2,NSGA2,1.0,1.0,0.0,21
NSGA2,NSGA3,0.47176723318582986,0.4146341463414634,0.27013752093768867,21
NSGA3,IMOGABKA-seed,0.15223349774978218,0.17525773195876287,0.07264743790154891,21
NSGA3,MOBKA,0.12107297464440321,0.125,0.10528355636660579,21
NSGA3,MOEAD,0.8715493299277668,0.8787878787878788,0.13337765987377234,21
NSGA3,NSGA2,0.2879903574286848,0.19642857142857142,0.2171517298593943,21
NSGA3,NSGA3,1.0,1.0,0.0,21
