113.8309338,22.80093903,256
113.8167589,22.7983729,310
113.772113,22.7578148,147
113.7330114,22.78358892,276
113.8202058,22.81553995,88
113.8133253,22.79438784,123
113.8147249,22.80688108,378
113.7422874,22.79833982,125
113.7690703,22.77201785,55
113.7970053,22.79738919,46
113.797364,22.80327882,277
113.7451774,22.79463914,195
113.7950738,22.82513112,95
113.7445204,22.77890985,440
113.7776104,22.80369235,55
113.7215257,22.79334018,265
113.7839528,22.79770063,273
113.7793131,22.77027196,160
113.7526842,22.79381378,71
113.7844376,22.75828152,145
113.7645615,22.78034631,131
113.7605141,22.79209074,442
113.7984737,22.78584882,119
113.7574782,22.77044587,347
113.7990691,22.7942443,75
113.7736274,22.76748611,33
113.7898069,22.82068727,88
113.7120193,22.79670865,122
113.7589751,22.78202506,225
113.7824383,22.81091566,126
113.7904995,22.76042555,174
113.7558479,22.79757252,35
113.8000152,22.81023248,361
113.8034535,22.80112429,278
113.7906506,22.80918005,250
113.828346,22.82295392,26
113.773145,22.78369996,405
113.7993979,22.79943395,146
113.7909203,22.79406926,136
113.750392,22.79755192,38
113.8063077,22.78829498,122
113.7898955,22.77962053,304
113.79265,22.81694772,157
113.7734369,22.79467955,264
113.806723,22.81226796,459
113.78363,22.78163331,145
113.7349871,22.7997808,388
113.8234722,22.80661988,407
113.8075247,22.79903068,195
113.7845072,22.78883519,220
