113.8309338,22.80093903,113194
113.8167589,22.7983729,129075
113.772113,22.7578148,107297
113.7330114,22.78358892,103942
113.8202058,22.81553995,118233
113.8133253,22.79438784,158665
113.8147249,22.80688108,119323
113.7422874,22.79833982,107854
113.7690703,22.77201785,136851
113.7970053,22.79738919,143695
113.797364,22.80327882,117667
113.7451774,22.79463914,142945
113.7950738,22.82513112,124214
113.7445204,22.77890985,132849
113.7776104,22.80369235,103694
113.7215257,22.79334018,139551
113.7839528,22.79770063,147560
113.7793131,22.77027196,112462
113.7526842,22.79381378,135395
113.7844376,22.75828152,152826
113.7645615,22.78034631,148927
113.7605141,22.79209074,146743
113.7984737,22.78584882,124167
113.7574782,22.77044587,101578
113.7990691,22.7942443,109780
113.7736274,22.76748611,139981
113.7898069,22.82068727,117975
113.7120193,22.79670865,132514
113.7589751,22.78202506,113439
113.7824383,22.81091566,144102
113.7904995,22.76042555,127093
113.7558479,22.79757252,124227
113.8000152,22.81023248,157520
113.8034535,22.80112429,135421
113.7906506,22.80918005,152072
113.828346,22.82295392,100062
113.773145,22.78369996,122044
113.7993979,22.79943395,150795
113.7909203,22.79406926,128568
113.750392,22.79755192,139234
113.8063077,22.78829498,110333
113.7898955,22.77962053,156509
113.79265,22.81694772,141887
113.7734369,22.79467955,144240
113.806723,22.81226796,155078
113.78363,22.78163331,101372
113.7349871,22.7997808,124945
113.8234722,22.80661988,121612
113.8075247,22.79903068,150927
113.7845072,22.78883519,122819
